genomes,ratio_1,ratio_2,ratio_3
GCA_000449285.1_ASM44928v1_genomic.fna,0.029669856491129316,0.03333333333333333,0.024134860319189405
GCA_004315405.1_ASM431540v1_genomic.fna,0.0009514524947215218,0.03333333333333333,0.02205480996644547
GCA_007114605.1_ASM711460v1_genomic.fna,0.01963362271356814,0.03333333333333333,0.011622329478844272
GCA_015703685.1_ASM1570368v1_genomic.fna,0.01291734907875849,0.03333333333333333,0.05007759866025721
GCA_016078175.1_PDT000311447.2_genomic.fna,0.000318951740720557,0.03333333333333333,0.004434258192300863
GCA_018736545.1_PDT001060494.1_genomic.fna,0.0030072270876217687,0.03333333333333333,0.06679453425518228
GCA_018855955.1_PDT001065882.1_genomic.fna,0.007010097509538033,0.03333333333333333,0.0005786091108931891
GCA_018880885.1_PDT001066748.1_genomic.fna,0.001452941131124473,0.03333333333333333,0.0392541837191499
GCA_018895495.1_PDT001070623.1_genomic.fna,0.007633526276158726,0.03333333333333333,0.04843954019310468
GCA_018908095.1_PDT001070380.1_genomic.fna,0.004793201332724362,0.03333333333333333,0.010294852820230583
GCA_018942535.1_PDT001069585.1_genomic.fna,0.010304696190692061,0.03333333333333333,0.09023228152865807
GCA_018962215.1_PDT001071925.1_genomic.fna,0.003823336794068769,0.03333333333333333,0.040226820890580696
GCA_019763655.1_ASM1976365v1_genomic.fna,2.8582240988598002e-05,0.03333333333333333,0.019818619313078926
GCA_021113555.1_ASM2111355v1_genomic.fna,0.02169615626306721,0.03333333333333333,0.03834307372692993
GCA_021360505.2_ASM2136050v2_genomic.fna,0.004424549445922771,0.03333333333333333,0.046952757506868135
GCA_022278845.1_PDT001250403.1_genomic.fna,0.009811875743399291,0.03333333333333333,0.0028741617031114762
GCA_024260145.1_ASM2426014v1_genomic.fna,0.009641247374069703,0.03333333333333333,0.05190111889909035
GCA_028234055.1_ASM2823405v1_genomic.fna,0.011970214251408314,0.03333333333333333,0.0769569385524808
GCA_029490295.1_PDT001673046.1_genomic.fna,0.0003669004439884981,0.03333333333333333,0.042706428924598576
GCA_030491795.1_ASM3049179v1_genomic.fna,0.0012969316806122789,0.03333333333333333,0.046331763078327835
GCA_032081245.1_ASM3208124v1_genomic.fna,0.0005388145638407884,0.03333333333333333,0.005283156746406024
GCA_039712125.1_ASM3971212v1_genomic.fna,0.0035007066190528868,0.03333333333333333,0.011075275497292193
GCA_045892185.1_ASM4589218v1_genomic.fna,0.8,0.03333333333333333,0.012834965740256556
GCA_045892665.1_ASM4589266v1_genomic.fna,0.0030925166897760826,0.03333333333333333,0.01097330550925181
GCA_046754885.1_ASM4675488v1_genomic.fna,0.006721321475050626,0.03333333333333333,0.03596072023502855
GCA_900690145.1_8140_6_40_genomic.fna,0.0024446033631588433,0.03333333333333333,0.03630087978012277
GCA_901002505.1_4995_1_5_genomic.fna,0.006683873463412478,0.03333333333333333,0.02971052706782788
GCA_901003235.1_5550_7_8_genomic.fna,0.013868907003539616,0.03333333333333333,0.01599362930909695
GCA_901006535.1_9119_3_21_genomic.fna,0.00027638373387442423,0.03333333333333333,0.08016762646240873
GCA_901008875.1_5589_8_9_genomic.fna,0.002120156804011345,0.03333333333333333,0.027670372812985896
